Date,Total
2010-01-01,343859
Feb-10,315535
Mar-10,378292
Apr-10,336664
May-10,328400
Jun-10,380558
Jul-10,368911
Aug-10,312215
Sep-10,257685
Oct-10,288795
Nov-10,309416
Dec-10,343243
Jan-11,307133
Feb-11,262982
Mar-11,294897
Apr-11,255059
May-11,277804
Jun-11,322757
Jul-11,299777
Aug-11,280331
Sep-11,240562
Oct-11,234308
Nov-11,265194
Dec-11,287905
Jan-12,295444
Feb-12,288510
Mar-12,281139
Apr-12,263139
May-12,301178
Jun-12,305370
Jul-12,317382
Aug-12,262554
Sep-12,213410
Oct-12,264363
Nov-12,282702
Dec-12,274798
Jan-13,342604
Feb-13,267265
Mar-13,274681
Apr-13,273356
May-13,290697
Jun-13,282769
Jul-13,312868
Aug-13,239929
Sep-13,193261
Oct-13,243689
Nov-13,230716
Dec-13,278711
Jan-14,297135
Feb-14,262730
Mar-14,250315
Apr-14,241301
May-14,222292
Jun-14,243495
Jul-14,313909
Aug-14,240511
Sep-14,231579
Oct-14,252947
Nov-14,255262
Dec-14,339523
Jan-15,364376
Feb-15,250913
Mar-15,324974
Apr-15,300899
May-15,294602
Jun-15,294438
Jul-15,371884
Aug-15,311381
Sep-15,282054
Oct-15,347783
Nov-15,353798
Dec-15,442595
Jan-16,446944
Feb-16,350906
Mar-16,403164
Apr-16,331089
May-16,350219
Jun-16,416860
Jul-16,399525
Aug-16,393397
Sep-16,321786
Oct-16,357267
Nov-16,407527
Dec-16,491933
Jan-17,540512
Feb-17,523206
Mar-17,432652
Apr-17,354632
May-17,416259
Jun-17,443831
Jul-17,442701
Aug-17,461400
Sep-17,374372
Oct-17,349079
Nov-17,444195
Dec-17,453502
Jan-18,579401
Feb-18,401199
Mar-18,427053
Apr-18,383339
May-18,421103
Jun-18,387881
Jul-18,410444
Aug-18,403391
Sep-18,286758
Oct-18,407908
Nov-18,401152
Dec-18,437638
Jan-19,571055
Feb-19,400290
Mar-19,396596
Apr-19,396121
May-19,416238
Jun-19,373086
Jul-19,419710
Aug-19,347198
Sep-19,288590
Oct-19,357117
Nov-19,348688
Dec-19,403105
